date,destination_id,historical_footfall,accommodation_occupancy,booking_demand,search_demand,event_pressure,holiday_pressure,weather_pressure,traffic_pressure,observed_pressure,source,data_quality,confidence
2023-01-01,darjeeling,85.8,76.9,85.1,72.7,14.6,35.2,56.7,100.0,69.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-01,kalimpong,59.1,55.6,58.6,49.0,13.4,33.2,48.6,74.4,51.8,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-01,lava,35.8,29.7,43.4,33.5,9.4,27.3,57.5,46.0,36.8,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-01,lolegaon,33.0,31.8,40.8,31.3,12.0,39.6,50.5,45.7,36.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-01,rishop,30.6,29.7,39.0,27.7,14.2,25.7,48.7,40.6,34.0,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-01,mirik,47.6,43.0,52.9,40.5,9.8,28.1,49.2,64.8,44.8,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-02,darjeeling,72.3,68.8,63.9,65.9,3.3,8.8,57.9,76.2,52.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-02,kalimpong,53.0,52.0,46.6,42.0,4.5,7.7,48.5,54.1,40.0,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-02,lava,30.2,26.9,29.0,25.5,9.3,9.6,49.2,25.4,24.5,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-02,lolegaon,25.9,27.5,23.0,20.0,10.0,10.1,47.1,20.7,22.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-02,rishop,20.3,20.1,21.0,17.1,2.5,8.8,58.0,19.8,25.1,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-02,mirik,38.0,37.5,36.4,33.8,4.1,11.4,47.3,35.8,31.0,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-03,darjeeling,71.0,70.4,68.3,60.1,6.0,6.8,57.0,76.8,55.0,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-03,kalimpong,51.4,45.5,49.4,45.6,8.2,10.3,46.0,47.8,43.1,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-03,lava,24.2,26.2,25.3,24.6,4.5,5.6,56.5,26.6,26.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-03,lolegaon,22.3,23.0,22.6,15.9,5.8,10.5,49.2,24.6,23.3,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-03,rishop,22.5,18.8,21.0,22.1,3.6,8.1,57.9,22.4,19.4,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-03,mirik,38.7,34.2,34.3,34.9,3.8,7.2,46.9,38.0,32.1,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-04,darjeeling,69.4,68.5,66.7,56.8,3.9,11.7,48.6,69.4,55.8,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-04,kalimpong,50.4,49.7,48.8,41.3,2.8,9.3,51.1,48.1,38.9,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-04,lava,29.2,28.8,30.7,21.7,5.2,8.4,56.3,24.7,27.1,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-04,lolegaon,24.8,21.5,20.8,26.1,5.5,13.6,52.6,19.9,25.1,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-04,rishop,26.5,27.6,28.1,27.6,8.8,6.7,51.8,21.7,24.5,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-04,mirik,40.6,42.0,35.5,38.6,5.6,9.2,57.5,42.4,35.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-05,darjeeling,71.7,69.1,63.2,61.1,9.7,10.8,52.5,76.5,58.2,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-05,kalimpong,50.6,50.4,43.8,49.1,2.6,6.9,53.1,49.9,41.4,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-05,lava,25.7,21.1,26.8,20.1,6.8,11.2,51.0,24.8,18.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-05,lolegaon,23.2,23.5,19.3,19.4,7.4,8.0,49.8,24.3,21.3,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-05,rishop,20.0,18.5,22.4,22.6,2.6,7.1,49.2,22.8,24.0,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-05,mirik,40.5,35.3,39.9,37.7,6.9,14.9,53.8,34.4,30.8,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-06,darjeeling,82.5,75.9,85.2,77.0,6.7,26.7,47.3,100.0,66.9,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-06,kalimpong,59.1,53.2,63.4,49.6,11.4,38.6,56.2,70.4,55.5,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-06,lava,31.1,27.4,32.6,30.1,13.3,28.9,54.9,44.3,32.8,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-06,lolegaon,25.8,27.3,35.0,23.2,15.8,33.7,47.8,37.0,30.9,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-06,rishop,25.2,26.9,33.6,25.8,16.7,28.2,49.0,35.2,31.0,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-06,mirik,46.7,44.9,48.2,45.4,16.2,39.6,55.7,63.6,41.7,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-07,darjeeling,86.0,82.7,85.8,80.0,15.4,38.0,55.7,100.0,72.3,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-07,kalimpong,67.2,66.0,67.6,62.3,11.0,29.6,55.5,78.3,56.7,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-07,lava,32.3,27.9,36.3,32.1,17.6,29.2,53.7,43.9,37.0,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-07,lolegaon,35.4,30.2,44.3,27.9,17.5,29.0,47.3,46.5,35.3,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-07,rishop,31.6,28.2,37.9,27.9,10.0,33.6,49.1,44.6,38.4,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-07,mirik,53.7,52.2,59.3,49.0,9.7,26.0,54.0,64.9,48.4,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-08,darjeeling,83.5,81.3,86.6,71.5,9.0,31.1,50.8,100.0,70.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-08,kalimpong,64.2,61.8,70.3,57.7,8.9,33.2,46.0,76.2,57.1,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-08,lava,33.1,31.8,39.7,28.8,10.7,28.2,51.7,48.5,35.3,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-08,lolegaon,27.6,26.1,34.5,22.6,15.6,36.3,54.1,39.1,30.7,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-08,rishop,26.1,20.7,30.0,22.7,16.0,26.1,51.0,40.1,30.3,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-08,mirik,50.4,45.3,55.6,39.4,14.8,36.6,47.3,63.0,49.1,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-09,darjeeling,38.0,39.4,35.1,28.9,4.0,13.5,51.5,45.1,30.2,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-09,kalimpong,29.3,31.1,30.1,26.9,7.8,10.0,56.0,31.0,22.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-09,lava,18.4,19.2,16.7,13.8,4.0,11.4,55.2,18.9,18.2,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-09,lolegaon,11.3,8.9,8.6,8.1,6.3,6.4,48.8,15.1,12.3,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-09,rishop,14.4,10.0,12.5,13.1,5.3,7.1,51.0,18.6,13.0,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-09,mirik,25.9,26.5,22.9,17.9,4.8,12.5,56.2,30.2,23.3,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-10,darjeeling,39.7,39.3,36.9,36.0,3.8,7.2,51.2,40.5,31.6,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-10,kalimpong,27.9,23.5,25.4,20.8,7.0,5.3,50.7,30.0,27.2,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-10,lava,12.3,12.7,8.4,10.4,2.4,8.8,48.5,12.9,14.1,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-10,lolegaon,16.1,17.8,12.8,10.0,2.2,10.4,58.0,15.9,15.3,SYNTHETIC_GENERATOR,HIGH,0.92
2023-01-10,rishop,14.1,15.5,14.2,15.0,9.6,7.0,46.2,12.4,18.5,SYNTHETIC_GENERATOR,HIGH,0.92
